,screen_name,name,followers_count,location,lat,lon,nickName,bday,education,children
0,TuckerCarlson,Tucker Carlson,1064787,"Washington, DC",38.8950092,-77.0365625,Tucker McNear Carlson[1],1969-05-16,[],4
1,WhiteHouse,The White House,15327283,"Washington, DC",38.8950092,-77.0365625,none,1792-10-13,none,none
2,KellyannePolls,Kellyanne Conway,1664393,"Washington, DC",38.8950092,-77.0365625,Kellyanne Elizabeth Fitzpatrick,1967-01-20,"[['Trinity Washington University', 'BA'], ['George Washington University', 'JD']]",4
3,Reince,Reince Priebus,941927,"Kenosha, WI",42.584677299999996,-87.82122629999999,Reinhold Richard Priebus,1972-03-18,"[['University of Wisconsinâ€“Whitewater', 'BA'], ['University of Miami', 'JD']]",2
4,RealRomaDowney,Roma Downey,192126,Malibu,34.035591,-118.689423,none,1960-05-06,none,"1 daughter, 2 stepsons"
5,Trump,Trump Organization,254702,"New York, NY",40.7308619,-73.9871558,none,1923,none,none
6,IngrahamAngle,Laura Ingraham,1664852,"Washington, DC",38.8950092,-77.0365625,Laura Anne Ingraham,1963-06-19,"[['Dartmouth College', 'BA'], ['University of Virginia', 'JD']]",3
7,TeamTrump,Official Team Trump,742514,USA,39.7837304,-100.4458825,none,none,none,none
8,DRUDGE_REPORT,DRUDGE REPORT,1319753,USA,39.7837304,-100.4458825,none,none,none,none
9,LaraLeaTrump,Lara Trump,301998,"New York, NY",40.7308619,-73.9871558,Lara Lea Yunaska,1982-10-12,none,1
10,seanhannity,Sean Hannity,2754923,"New York, NY",40.7308619,-73.9871558,Sean Patrick Hannity[1],1961-12-30,[],2
11,CLewandowski_,Corey R. Lewandowski,285315,"Washington, DC",38.8950092,-77.0365625,none,1973-09-18,"[[None, 'BA'], ['American University', 'MA']]",4
12,AnnCoulter,Ann Coulter,1662294,"Los Angeles, CA",34.0536834,-118.24276689999999,Ann Hart Coulter,1961-12-08,"[['Cornell University', 'BA'], ['University of Michigan', 'JD']]",none
13,DiamondandSilk,Diamond and SilkÂ®,382889,USA,39.7837304,-100.4458825,none,none,none,none
14,KatrinaPierson,Katrina Pierson,339906,"Washington, DC",38.8950092,-77.0365625,Katrina Lanette Shaddix,1976-07-20,none,1
15,MichaelCohen212,Michael Cohen,257489,"New York, NY",40.7308619,-73.9871558,none,none,none,none
16,foxandfriends,FOX & friends,1012750,"New York, NY",40.7308619,-73.9871558,none,none,none,none
17,MELANIATRUMP,MELANIA TRUMP,892678,"New York, NY",40.7308619,-73.9871558,none,none,none,none
18,GeraldoRivera,Geraldo Rivera,157925,"New York, NY",40.7308619,-73.9871558,Gerald Michael Riviera,1943-07-04,"[['State University of New York Maritime College', 'University of Arizona'], ['BS', 'Brooklyn Law School']]",5
19,ericbolling,Eric Bolling,729649,"New York, NY",40.7308619,-73.9871558,Eric Thomas Bolling,none,"[['Rollins College', 'BA']]",1
20,MarkBurnettTV,Mark Burnett,193488,"Los Angeles, CA",34.0536834,-118.24276689999999,James Mark Burnett[1],1960-07-17,none,"3, including a step-daughter"
21,garyplayer,Gary Player,359255,South Africa,-28.816623600000003,24.991639000000003,none,1935-11-01,none,"Jennifer, Marc, Wayne, Michele, Theresa, Amanda"
22,VinceMcMahon,Vince McMahon,1789522,"Greenwich, Conn.",41.0264862,-73.6284598,Vincent Kennedy McMahon,1945-08-24,[],
23,TrumpWaikiki,Trump Waikiki,48325,"Waikiki, Oahu",21.28525885,-157.831717816449,none,none,none,none
24,TrumpDoral,Trump National Doral,56443,"Miami, Florida",25.7742658,-80.1936589,none,none,none,none
25,TrumpCharlotte,Trump Charlotte,38486,"Charlotte, NC",35.2270869,-80.8431268,none,none,none,none
26,TrumpLasVegas,Trump Vegas Hotel,99719,Las Vegas ,36.1662859,-115.149225,none,none,none,none
27,TrumpChicago,Trump Hotel Chicago,67529,"Chicago, IL",41.875561600000005,-87.6244212,none,none,none,none
28,TrumpGolfDC,"Trump Washington, DC",56428,"Sterling, VA",39.001619399999996,-77.40320109999999,none,none,none,none
29,TrumpGolfLA,Trump Los Angeles,47512,"Los Angeles, CA",34.0536834,-118.24276689999999,none,none,none,none
30,billoreilly,Bill O'Reilly,2124836,"Manhasset, NY",40.7978787,-73.6995749,none,none,none,none
31,greta,Greta Van Susteren,1191205,"Washington, DC",38.8950092,-77.0365625,Greta Conway Van Susteren[1],1954-06-11,"[['University of Wisconsin', 'B.A.'], ['Georgetown University', 'J.D.']]",none
32,piersmorgan,Piers Morgan,6035181,"London, UK",51.5073219,-0.1276474,Piers Stefan O'Meara,1965-03-30,"[['Chailey School', 'Priory School, Lewes']]",4
33,IvankaTrump,Ivanka Trump,4415392,"New York, NY",40.7308619,-73.9871558,Ivana Marie Trump,1981-10-30,"[['Georgetown University', 'University of Pennsylvania']]",3
34,VP,Vice President Mike Pence,7033438,"Washington, DC",38.8950092,-77.0365625,Michael Richard Pence,1959-06-07,"[['Hanover College', 'BA'], ['Indiana University, Indianapolis', 'JD']]",
35,parscale,Brad Parscale,212087,"Washington, DC",38.8950092,-77.0365625,Bradley James Parscale,1976-01-03,"[['University of Texas, San Antonio', 'Trinity University']]",1
36,PressSec,Sarah Sanders,3699784,"Washington, DC",38.8950092,-77.0365625,Sarah Elizabeth Huckabee,1982-08-13,"[['Ouachita Baptist University', 'BA']]",3
37,TuckerCarlson,Tucker Carlson,2452306,"Washington, DC",38.8950092,-77.0365625,Tucker McNear Carlson[1],1969-05-16,[],4
38,WhiteHouse,The White House,17981553,"Washington, DC",38.8950092,-77.0365625,none,1792-10-13,none,none
39,Scavino45,Dan Scavino Jr.,340876,"1600 Pennsylvania Avenue, Washington, DC",38.8958536,-77.03071290000001,Daniel Scavino Jr.,none,"[['State University of New York, Plattsburgh', 'BA']]",none
40,KellyannePolls,Kellyanne Conway,2584390,USA,39.7837304,-100.4458825,Kellyanne Elizabeth Fitzpatrick,1967-01-20,"[['Trinity Washington University', 'BA'], ['George Washington University', 'JD']]",4
41,Reince,Reince Priebus,934750,"Washington, DC",38.8950092,-77.0365625,Reinhold Richard Priebus,1972-03-18,"[['University of Wisconsinâ€“Whitewater', 'BA'], ['University of Miami', 'JD']]",2
42,RealRomaDowney,Roma Downey,238918,"California, USA",36.7014631,-118.75599740000001,none,1960-05-06,none,"1 daughter, 2 stepsons"
43,Trump,The Trump Organization,350208,"New York, NY",40.7308619,-73.9871558,none,1923,none,none
44,IngrahamAngle,Laura Ingraham,2581320,"Washington, DC",38.8950092,-77.0365625,Laura Anne Ingraham,1963-06-19,"[['Dartmouth College', 'BA'], ['University of Virginia', 'JD']]",3
45,TeamTrump,Official Team Trump,956501,USA,39.7837304,-100.4458825,none,none,none,none
46,DRUDGE_REPORT,DRUDGE REPORT,1403331,USA,39.7837304,-100.4458825,none,none,none,none
47,LaraLeaTrump,Lara Trump,492595,"New York, NY",40.7308619,-73.9871558,Lara Lea Yunaska,1982-10-12,none,1
48,seanhannity,Sean Hannity,3928199,"New York, NY",40.7308619,-73.9871558,Sean Patrick Hannity[1],1961-12-30,[],2
49,CLewandowski_,Corey R. Lewandowski,388884,"Washington, DC",38.8950092,-77.0365625,none,1973-09-18,"[[None, 'BA'], ['American University', 'MA']]",4
50,DiamondandSilk,Diamond and SilkÂ®,1010717,USA,39.7837304,-100.4458825,none,none,none,none
51,KatrinaPierson,Katrina Pierson,443386,"Washington, DC",38.8950092,-77.0365625,Katrina Lanette Shaddix,1976-07-20,none,1
52,foxandfriends,FOX & friends,1335507,"New York, NY",40.7308619,-73.9871558,none,none,none,none
53,MELANIATRUMP,MELANIA TRUMP,1064983,"New York, NY",40.7308619,-73.9871558,none,none,none,none
54,GeraldoRivera,Geraldo Rivera,265232,"New York, NY",40.7308619,-73.9871558,Gerald Michael Riviera,1943-07-04,"[['State University of New York Maritime College', 'University of Arizona'], ['BS', 'Brooklyn Law School']]",5
55,ericbolling,Eric BollingðŸ‡ºðŸ‡¸,1080806,"New York, NY",40.7308619,-73.9871558,none,none,none,none
56,MarkBurnettTV,Mark Burnett,219525,"Los Angeles, CA",34.0536834,-118.24276689999999,James Mark Burnett[1],1960-07-17,none,"3, including a step-daughter"
57,garyplayer,Gary Player,393259,South Africa,-28.816623600000003,24.991639000000003,none,1935-11-01,none,"Jennifer, Marc, Wayne, Michele, Theresa, Amanda"
58,VinceMcMahon,Vince McMahon,2197623,"Greenwich, Conn.",41.0264862,-73.6284598,Vincent Kennedy McMahon,1945-08-24,[],
59,DanScavino,Dan Scavino,507539,"Washington, DC",38.8950092,-77.0365625,Daniel Scavino Jr.,none,"[['State University of New York, Plattsburgh', 'BA']]",none
60,TrumpDoral,Trump National Doral,87502,"Miami, Florida",25.7742658,-80.1936589,none,none,none,none
61,TrumpCharlotte,Trump Charlotte,69155,"Charlotte, NC",35.2270869,-80.8431268,none,none,none,none
62,TrumpLasVegas,Trump Vegas Hotel,126917,Las Vegas ,36.1662859,-115.149225,none,none,none,none
63,TrumpChicago,Trump Hotel Chicago,94208,"Chicago, IL",41.875561600000005,-87.6244212,none,none,none,none
64,TrumpGolfDC,"Trump Washington, DC",98794,"Sterling, VA",39.001619399999996,-77.40320109999999,none,none,none,none
65,TrumpGolfLA,Trump Los Angeles,81502,"Los Angeles, CA",34.0536834,-118.24276689999999,none,none,none,none
66,greta,Greta Van Susteren,1201546,"Washington, DC",38.8950092,-77.0365625,Greta Conway Van Susteren[1],1954-06-11,"[['University of Wisconsin', 'B.A.'], ['Georgetown University', 'J.D.']]",none
67,piersmorgan,Piers Morgan,6535363,"Los Angeles, CA",34.0536834,-118.24276689999999,Piers Stefan O'Meara,1965-03-30,"[['Chailey School', 'Priory School, Lewes']]",4
68,IvankaTrump,Ivanka Trump,6159430,"Washington, DC",38.8950092,-77.0365625,Ivana Marie Trump,1981-10-30,"[['Georgetown University', 'University of Pennsylvania']]",3
