Unnamed: 0,screen_name,name,followers_count,location,lat,lon
0,TuckerCarlson,Tucker Carlson,1064787,"Washington, DC",38.8950092,-77.0365625
3,WhiteHouse,The White House,15327283,"Washington, DC",38.8950092,-77.0365625
5,KellyannePolls,Kellyanne Conway,1664393,"Washington, DC",38.8950092,-77.0365625
6,Reince,Reince Priebus,941927,"Kenosha, WI",42.5846773,-87.8212263
10,RealRomaDowney,Roma Downey,192126,Malibu,34.035591,-118.689423
11,Trump,Trump Organization,254702,"New York, NY",40.7308619,-73.9871558
14,IngrahamAngle,Laura Ingraham,1664852,"Washington, DC",38.8950092,-77.0365625
16,TeamTrump,Official Team Trump,742514,USA,39.7837304,-100.4458825
17,DRUDGE_REPORT,DRUDGE REPORT,1319753,USA,39.7837304,-100.4458825
19,LaraLeaTrump,Lara Trump,301998,"New York, NY",40.7308619,-73.9871558
20,seanhannity,Sean Hannity,2754923,"New York, NY",40.7308619,-73.9871558
22,CLewandowski_,Corey R. Lewandowski,285315,"Washington, DC",38.8950092,-77.0365625
23,AnnCoulter,Ann Coulter,1662294,"Los Angeles, CA",34.0536834,-118.2427669
24,DiamondandSilk,Diamond and SilkÂ®,382889,USA,39.7837304,-100.4458825
26,KatrinaPierson,Katrina Pierson,339906,"Washington, DC",38.8950092,-77.0365625
27,MichaelCohen212,Michael Cohen,257489,"New York, NY",40.7308619,-73.9871558
28,foxandfriends,FOX & friends,1012750,"New York, NY",40.7308619,-73.9871558
29,MELANIATRUMP,MELANIA TRUMP,892678,"New York, NY",40.7308619,-73.9871558
30,GeraldoRivera,Geraldo Rivera,157925,"New York, NY",40.7308619,-73.9871558
31,ericbolling,Eric Bolling,729649,"New York, NY",40.7308619,-73.9871558
32,MarkBurnettTV,Mark Burnett,193488,"Los Angeles, CA",34.0536834,-118.2427669
33,garyplayer,Gary Player,359255,South Africa,-28.8166236,24.991639
34,VinceMcMahon,Vince McMahon,1789522,"Greenwich, Conn.",41.0264862,-73.6284598
36,TrumpWaikiki,Trump Waikiki,48325,"Waikiki, Oahu",21.28525885,-157.831717816449
37,TrumpDoral,Trump National Doral,56443,"Miami, Florida",25.7742658,-80.1936589
38,TrumpCharlotte,Trump Charlotte,38486,"Charlotte, NC",35.2270869,-80.8431268
39,TrumpLasVegas,Trump Vegas Hotel,99719,Las Vegas ,36.1662859,-115.149225
40,TrumpChicago,Trump Hotel Chicago,67529,"Chicago, IL",41.8755616,-87.6244212
41,TrumpGolfDC,"Trump Washington, DC",56428,"Sterling, VA",39.0016194,-77.4032011
42,TrumpGolfLA,Trump Los Angeles,47512,"Los Angeles, CA",34.0536834,-118.2427669
44,billoreilly,Bill O'Reilly,2124836,"Manhasset, NY",40.7978787,-73.6995749
45,greta,Greta Van Susteren,1191205,"Washington, DC",38.8950092,-77.0365625
46,piersmorgan,Piers Morgan,6035181,"London, UK",51.5073219,-0.1276474
49,IvankaTrump,Ivanka Trump,4415392,"New York, NY",40.7308619,-73.9871558
51,VP,Vice President Mike Pence,7033438,"Washington, DC",38.8950092,-77.0365625
54,parscale,Brad Parscale,212087,"Washington, DC",38.8950092,-77.0365625
55,PressSec,Sarah Sanders,3699784,"Washington, DC",38.8950092,-77.0365625
56,TuckerCarlson,Tucker Carlson,2452306,"Washington, DC",38.8950092,-77.0365625
58,WhiteHouse,The White House,17981553,"Washington, DC",38.8950092,-77.0365625
60,Scavino45,Dan Scavino Jr.,340876,"1600 Pennsylvania Avenue, Washington, DC",38.8958536,-77.0307129
61,KellyannePolls,Kellyanne Conway,2584390,USA,39.7837304,-100.4458825
62,Reince,Reince Priebus,934750,"Washington, DC",38.8950092,-77.0365625
63,RealRomaDowney,Roma Downey,238918,"California, USA",36.7014631,-118.7559974
64,Trump,The Trump Organization,350208,"New York, NY",40.7308619,-73.9871558
67,IngrahamAngle,Laura Ingraham,2581320,"Washington, DC",38.8950092,-77.0365625
69,TeamTrump,Official Team Trump,956501,USA,39.7837304,-100.4458825
72,DRUDGE_REPORT,DRUDGE REPORT,1403331,USA,39.7837304,-100.4458825
74,LaraLeaTrump,Lara Trump,492595,"New York, NY",40.7308619,-73.9871558
75,seanhannity,Sean Hannity,3928199,"New York, NY",40.7308619,-73.9871558
76,CLewandowski_,Corey R. Lewandowski,388884,"Washington, DC",38.8950092,-77.0365625
77,DiamondandSilk,Diamond and SilkÂ®,1010717,USA,39.7837304,-100.4458825
79,KatrinaPierson,Katrina Pierson,443386,"Washington, DC",38.8950092,-77.0365625
81,foxandfriends,FOX & friends,1335507,"New York, NY",40.7308619,-73.9871558
82,MELANIATRUMP,MELANIA TRUMP,1064983,"New York, NY",40.7308619,-73.9871558
83,GeraldoRivera,Geraldo Rivera,265232,"New York, NY",40.7308619,-73.9871558
84,ericbolling,Eric BollingðŸ‡ºðŸ‡¸,1080806,"New York, NY",40.7308619,-73.9871558
87,MarkBurnettTV,Mark Burnett,219525,"Los Angeles, CA",34.0536834,-118.2427669
88,garyplayer,Gary Player,393259,South Africa,-28.8166236,24.991639
89,VinceMcMahon,Vince McMahon,2197623,"Greenwich, Conn.",41.0264862,-73.6284598
90,DanScavino,Dan Scavino,507539,"Washington, DC",38.8950092,-77.0365625
91,TrumpDoral,Trump National Doral,87502,"Miami, Florida",25.7742658,-80.1936589
92,TrumpCharlotte,Trump Charlotte,69155,"Charlotte, NC",35.2270869,-80.8431268
93,TrumpLasVegas,Trump Vegas Hotel,126917,Las Vegas ,36.1662859,-115.149225
94,TrumpChicago,Trump Hotel Chicago,94208,"Chicago, IL",41.8755616,-87.6244212
95,TrumpGolfDC,"Trump Washington, DC",98794,"Sterling, VA",39.0016194,-77.4032011
96,TrumpGolfLA,Trump Los Angeles,81502,"Los Angeles, CA",34.0536834,-118.2427669
99,greta,Greta Van Susteren,1201546,"Washington, DC",38.8950092,-77.0365625
101,piersmorgan,Piers Morgan,6535363,"Los Angeles, CA",34.0536834,-118.2427669
103,IvankaTrump,Ivanka Trump,6159430,"Washington, DC",38.8950092,-77.0365625
